imageName,picNum,jointNum,size
0001-01-12.jpg,1,1,12
0001-01-24.jpg,1,1,24
0001-01-36.jpg,1,1,36
0001-01-48.jpg,1,1,48
0001-01-60.jpg,1,1,60
0001-02-12.jpg,1,2,12
0001-02-24.jpg,1,2,24
0001-02-36.jpg,1,2,36
0001-02-48.jpg,1,2,48
0001-02-60.jpg,1,2,60
0001-03-12.jpg,1,3,12
0001-03-24.jpg,1,3,24
0001-03-36.jpg,1,3,36
0001-03-48.jpg,1,3,48
0001-03-60.jpg,1,3,60
0001-04-12.jpg,1,4,12
0001-04-24.jpg,1,4,24
0001-04-36.jpg,1,4,36
0001-04-48.jpg,1,4,48
0001-04-60.jpg,1,4,60
0001-05-12.jpg,1,5,12
0001-05-24.jpg,1,5,24
0001-05-36.jpg,1,5,36
0001-05-48.jpg,1,5,48
0001-05-60.jpg,1,5,60
0001-06-12.jpg,1,6,12
0001-06-24.jpg,1,6,24
0001-06-36.jpg,1,6,36
0001-06-48.jpg,1,6,48
0001-06-60.jpg,1,6,60
0001-07-12.jpg,1,7,12
0001-07-24.jpg,1,7,24
0001-07-36.jpg,1,7,36
0001-07-48.jpg,1,7,48
0001-07-60.jpg,1,7,60
0001-08-12.jpg,1,8,12
0001-08-24.jpg,1,8,24
0001-08-36.jpg,1,8,36
0001-08-48.jpg,1,8,48
0001-08-60.jpg,1,8,60
0001-09-12.jpg,1,9,12
0001-09-24.jpg,1,9,24
0001-09-36.jpg,1,9,36
0001-09-48.jpg,1,9,48
0001-09-60.jpg,1,9,60
0001-10-12.jpg,1,10,12
0001-10-24.jpg,1,10,24
0001-10-36.jpg,1,10,36
0001-10-48.jpg,1,10,48
0001-10-60.jpg,1,10,60
0001-11-12.jpg,1,11,12
0001-11-24.jpg,1,11,24
0001-11-36.jpg,1,11,36
0001-11-48.jpg,1,11,48
0001-11-60.jpg,1,11,60
0001-12-12.jpg,1,12,12
0001-12-24.jpg,1,12,24
0001-12-36.jpg,1,12,36
0001-12-48.jpg,1,12,48
0001-12-60.jpg,1,12,60
0001-13-12.jpg,1,13,12
0001-13-24.jpg,1,13,24
0001-13-36.jpg,1,13,36
0001-13-48.jpg,1,13,48
0001-13-60.jpg,1,13,60
0001-14-12.jpg,1,14,12
0001-14-24.jpg,1,14,24
0001-14-36.jpg,1,14,36
0001-14-48.jpg,1,14,48
